date,triplet,head,relation,tail,sentence
2022-01-01,"{'head': 'Tesla Inc', 'relation': 'added', 'tail': 'Bitcoin to its balance sheet in 2021.'}",Tesla Inc,added,Bitcoin to its balance sheet in 2021.,Tesla Inc added Bitcoin to its balance sheet in 2021.
2022-01-01,"{'head': 'Deutsche Bank', 'relation': 'boosted', 'tail': ""their price target on Tesla's stock Inc (NASDAQ:TSLA).""}",Deutsche Bank,boosted,their price target on Tesla's stock Inc (NASDAQ:TSLA).,Deutsche Bank boosted their price target on Tesla's stock Inc (NASDAQ:TSLA).
2022-01-01,"{'head': 'Shift to electric vehicles', 'relation': 'could help', 'tail': ""extend Tesla's EV lead considerably.""}",Shift to electric vehicles,could help,extend Tesla's EV lead considerably.,Shift to electric vehicles could help extend Tesla's EV lead considerably.
2022-01-01,"{'head': 'Analyst', 'relation': 'says', 'tail': ""Tesla's EV lead could be extended considerably.""}",Analyst,says,Tesla's EV lead could be extended considerably.,Analyst says Tesla's EV lead could be extended considerably.
2022-01-01,"{'head': 'Tesla', 'relation': 'could', 'tail': 'considerably extend its EV lead.'}",Tesla,could,considerably extend its EV lead.,Tesla could considerably extend its EV lead.
2022-01-02,"{'head': 'Tesla', 'relation': 'has financial metric', 'tail': 'stretched'}",Tesla,has financial metric,stretched,Tesla has financial metric stretched
2022-01-02,"{'head': 'Tesla', 'relation': 'diverges from', 'tail': 'fundamentals'}",Tesla,diverges from,fundamentals,Tesla diverges from fundamentals
2022-01-02,"{'head': 'Tesla', 'relation': 'is the only company with', 'tail': 'Bitcoin on its balance sheet'}",Tesla,is the only company with,Bitcoin on its balance sheet,Tesla is the only company with Bitcoin on its balance sheet
2022-01-02,"{'head': 'S&P 500', 'relation': 'has company', 'tail': 'Tesla'}",S&P 500,has company,Tesla,S&P 500 has company Tesla
2022-01-02,"{'head': 'Bitcoin', 'relation': 'will no longer be exclusive to', 'tail': 'Tesla'}",Bitcoin,will no longer be exclusive to,Tesla,Bitcoin will no longer be exclusive to Tesla
2022-01-03,"{'head': 'Elon Musk', 'relation': 'sold', 'tail': '10% of Tesla holdings'}",Elon Musk,sold,10% of Tesla holdings,Elon Musk sold 10% of Tesla holdings
