date,LLM_Triplet
2022-01-01,"
{
  ""impact cases"": [
    ""Tesla Inc (NASDAQ:TSLA) added Bitcoin to its balance sheet in 2021.""
  ],
  ""triplets"": [
    {
      ""head"": ""Tesla Inc"",
      ""relation"": ""added"",
      ""tail"": ""Bitcoin to its balance sheet in 2021.""
    },
    {
      ""head"": ""Deutsche Bank"",
      ""relation"": ""boosted"",
      ""tail"": ""their price target on Tesla's stock Inc (NASDAQ:TSLA).""
    },
    {
      ""head"": ""Shift to electric vehicles"",
      ""relation"": ""could help"",
      ""tail"": ""extend Tesla's EV lead considerably.""
    },
    {
      ""head"": ""Analyst"",
      ""relation"": ""says"",
      ""tail"": ""Tesla's EV lead could be extended considerably.""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""could"",
      ""tail"": ""considerably extend its EV lead.""
    }
  ]
}
"
2022-01-02,"
{
  ""impact cases"": [
    ""Tesla's stock looks stretched."",
    ""Tesla doesn't converge with fundamentals"",
    ""Tesla is the only S&P 500 company with Bitcoin on its balance sheet. That will change in 2022.""
  ],
  ""triplets"": [
    {
      ""head"": ""Tesla"",
      ""relation"": ""has financial metric"",
      ""tail"": ""stretched""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""diverges from"",
      ""tail"": ""fundamentals""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""is the only company with"",
      ""tail"": ""Bitcoin on its balance sheet""
    },
    {
      ""head"": ""S&P 500"",
      ""relation"": ""has company"",
      ""tail"": ""Tesla""
    },
    {
      ""head"": ""Bitcoin"",
      ""relation"": ""will no longer be exclusive to"",
      ""tail"": ""Tesla""
    }
  ]
}
"
2022-01-03,"
{
  ""impact cases"": [
    ""CEO Elon Musk sold 10% of his Tesla holdings to prove liquidity of Bitcoin as an alternative to holding cash."",
    ""Musk is also a fan of Dogecoin (CRYPTO: Doge) and his tweets can often affect the market.""
  ],
  ""triplets"": [
    {
      ""head"": ""Elon Musk"",
      ""relation"": ""sold"",
      ""tail"": ""10% of Tesla holdings""
    },
    {
      ""head"": ""Elon Musk"",
      ""relation"": ""is a fan of"",
      ""tail"": ""Dogecoin (CRYPTO: Doge)""
    },
    {
      ""head"": ""Elon Musk's tweets"",
      ""relation"": ""can affect"",
      ""tail"": ""Dogecoin market""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""invested"",
      ""tail"": ""1.5 billion USD into Bitcoin""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""smashed"",
      ""tail"": ""quarterly record for deliveries""
    }
  ]
}
"
2022-01-04,"
{
 ""impact cases"": [
  ""Lucid Group shares rose 280% in 2021, and Cramer said he knows many investors are justifiably looking for the next Tesla."",
  ""The Tesla Analyst: BofA Securities analyst John Murphy maintained a Neutral rating and a $1,200 price target for Tesla shares."",
  ""Teslas deliveries and production increased 71% and 70%, respectively year-over-year, but sequentially, the rate is less pronounced at 28% and 29%, Murphy said in a note."",
  ""Earlier this year, Tesla seemed to halt plans to add incremental capacity at its Gigafactory Shanghai, although reasons are less clear, the analyst said."",
  ""The company has also pushed back the production start timeline for both its Cybertruck and Semi to 2022 from 2021, the analyst noted. This may have been due to supply constraints.""
 ],
 ""triplets"": [
  {
   ""head"": ""Lucid Group"",
   ""relation"": ""is seen as a potential competitor to"",
   ""tail"": ""Tesla""
  },
  {
   ""head"": ""Tesla"",
   ""relation"": ""has a neutral rating and a $1,200 price target"",
   ""tail"": ""from BofA Securities analyst John Murphy""
  },
  {
   ""head"": ""Tesla"",
   ""relation"": ""saw a 28% and 29% sequential growth rate in deliveries and production"",
   ""tail"": ""in Q4 2021""
  },
  {
   ""head"": ""Tesla"",
   ""relation"": ""has halted plans to expand capacity at Gigafactory Shanghai"",
   ""tail"": ""for unclear reasons""
  },
  {
   ""head"": ""Tesla"",
   ""relation"": ""has delayed the production start of the Cybertruck and Semi"",
   ""tail"": ""to 2022 from 2021""
  }
 ]
}
"
2022-01-05,"
{
 ""impact cases"": [
  ""GM has paused the retail sale of its Chevrolet Bolt EV after a series of fires last year."",
  ""Production of its much-anticipated Cybertruck is likely to begin at the end of this year, with volume production in 2023.""
 ],
 ""triplets"": [
  {
   ""head"": ""Tesla"",
   ""relation"": ""sells"",
   ""tail"": ""four EV models""
  },
  {
   ""head"": ""Tesla"",
   ""relation"": ""aims"",
   ""tail"": ""to deliver its second-generation roadster and Semi electric, commercial truck in 2023""
  },
  {
   ""head"": ""Tesla"",
   ""relation"": ""produced"",
   ""tail"": ""936,172 EVs in 2021""
  },
  {
   ""head"": ""General Motors"",
   ""relation"": ""paused"",
   ""tail"": ""retail sale of Chevrolet Bolt EV""
  },
  {
   ""head"": ""Tesla Cybertruck"",
   ""relation"": ""likely"",
   ""tail"": ""to begin production at the end of this year""
  }
 ]
}
"
2022-01-06,"
{
  ""impact cases"": [
    ""Competing EV makers Tesla Inc, Lordstown Motor and Fisker fell between 2.1% and 3.3%, with high-flying growth stocks under pressure from expectations the U.S. Federal Reserve could raise interest sooner than previously thought."",
    ""“Tesla has shown us the extremely difficult path to ramping EV manufacturing. You can’t have the reward without the pain.”"",
    ""Rivian’s stock has slumped about 14% since the start of Wednesday, when Amazon.com Inc, one of Rivian’s biggest investors, said it teamed up with carmaker Stellantis NV ."",
    ""“It’s still sort of unproven in terms of investability of that as a stock versus some of the other names like Tesla, and arguably Ford,”""
  ],
  ""triplets"": [
    {
      ""head"": ""Tesla Inc"",
      ""relation"": ""fell"",
      ""tail"": ""between 2.1% and 3.3%""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""shown"",
      ""tail"": ""extremely difficult path to ramping EV manufacturing""
    },
    {
      ""head"": ""Rivian stock"",
      ""relation"": ""slumped"",
      ""tail"": ""about 14% since the start of Wednesday""
    },
    {
      ""head"": ""Rivian stock"",
      ""relation"": ""unproven"",
      ""tail"": ""in terms of investability""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""worth"",
      ""tail"": ""$ 1.07 trillion""
    }
  ]
}
"
2022-01-07,"
{
  ""impact cases"": [
    ""Tesla Inc. sold by McAdam, LLC"",
    ""Tesla fell 3.5%""
  ],
  ""triplets"": [
    {
      ""head"": ""Tesla Inc."",
      ""relation"": ""sold by"",
      ""tail"": ""McAdam, LLC""
    },
    {
      ""head"": ""Tesla Inc."",
      ""relation"": ""fell"",
      ""tail"": ""3.5%""
    },
    {
      ""head"": ""Ford Motor Co."",
      ""relation"": ""gearing up to compete with"",
      ""tail"": ""Tesla""
    },
    {
      ""head"": ""General Motors"",
      ""relation"": ""gearing up to compete with"",
      ""tail"": ""Tesla""
    },
    {
      ""head"": ""Nvidia"",
      ""relation"": ""slid"",
      ""tail"": ""3.3%""
    }
  ]
}
"
2022-01-08,"
{
 ""impact cases"": [
  ""Tesla raises the price of its Full Self-Driving autopilot option from $10,000 to $12,000 beginning Jan. 17.""
 ],
 ""triplets"": [
  {
   ""head"": ""Tesla"",
   ""relation"": ""price increase"",
   ""tail"": ""Full Self-Driving autopilot option""
  },
  {
   ""head"": ""Tesla"",
   ""relation"": ""price increase"",
   ""tail"": ""Full Self-Driving autopilot option""
  },
  {
   ""head"": ""Tesla"",
   ""relation"": ""price increase"",
   ""tail"": ""Full Self-Driving autopilot option""
  }
 ]
}
"
2022-01-09,"
{
  ""impact cases"": [
    ""Tesla has been clearly benefiting from a cost advantage when electric vehicles production and deliveries grow. It has clearly passed the pivot point of critical scale since 2017."",
    ""And this time, you can see very clearly that Tesla was able to make an improving profits per vehicle while the sales per vehicle (i.e., the price tag on each vehicle) have actually been DECLINING  a clear indicator of passing the pivot point of critical scale and starting enjoying the 2nd order benefits of production growth.""
  ],
  ""triplets"": [
    {
      ""head"": ""Tesla"",
      ""relation"": ""has benefited from"",
      ""tail"": ""cost advantage in electric vehicle production""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""has passed"",
      ""tail"": ""critical scale since 2017""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""has improved"",
      ""tail"": ""profits per vehicle""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""has declined"",
      ""tail"": ""sales per vehicle""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""can monetize on"",
      ""tail"": ""3rd order effects""
    }
  ]
}
"
2022-01-10,"
{
  ""impact cases"": [
    ""Tesla signed a nickel supply deal with Talon Metals Corp... The deal is worth over $1.5 billion.""
  ],
  ""triplets"": [
    {
      ""head"": ""Tesla"",
      ""relation"": ""signed a nickel supply deal with"",
      ""tail"": ""Talon Metals Corp.""
    },
    {
      ""head"": ""Tesla"",
      ""relation"": ""committed to purchase"",
      ""tail"": ""75,000 metric tons of nickel concentrates""
    },
    {
      ""head"": ""The deal"",
      ""relation"": ""is worth over"",
      ""tail"": ""$1.5 billion""
    },
    {
      ""head"": ""Nickel concentrates"",
      ""relation"": ""produced from"",
      ""tail"": ""Talon's Tamarack project""
    },
    {
      ""head"": ""The price"",
      ""relation"": ""linked to"",
      ""tail"": ""London Metal Exchange’s cash-settlement""
    }
  ]
}
"
